(0,175003599)
(1,26127412)
(2,7983454)
(3,3572921)
(4,1880480)
(5,1040863)
(6,562161)
(7,307659)
(8,225899)
(9,144825)
(10,97593)
(11,69043)
(12,49036)
(13,32269)
(14,18815)
(15,9034)
(16,4963)
(17,2613)
(18,1389)
(19,1396)
(20,1050)
(21,688)
(22,391)
(23,369)
(24,188)
(25,131)
(26,23)
(27,13)
(28,40)
(29,15)
(30,4)
(31,5)
(32,2)
(33,1)
(35,1)
(43,1)
(47,1)
